Designator,Mid X,Mid Y,Rotation,Layer
J1,74.935,-88.9,90.0,top
J2,90.155,-88.9,270.0,bottom
J3,90.155,-111.76,270.0,bottom
R1,81.28,-93.98,90.0,bottom
R10,83.82,-104.14,90.0,bottom
R11,86.36,-104.14,90.0,bottom
R12,88.9,-104.151401,90.0,bottom
R13,91.44,-104.14,90.0,bottom
R14,93.98,-104.14,90.0,bottom
R15,96.52,-104.14,90.0,bottom
R16,99.06,-104.14,90.0,bottom
R2,83.82,-93.98,90.0,bottom
R3,86.36,-93.98,90.0,bottom
R4,88.9,-93.98,90.0,bottom
R5,91.44,-93.98,90.0,bottom
R6,93.98,-93.98,90.0,bottom
R7,96.52,-93.98,90.0,bottom
R8,99.06,-93.98,90.0,bottom
R9,81.28,-104.14,90.0,bottom
SW1,90.155,-95.24,270.0,top
SW2,90.155,-105.4,270.0,top
